BBBPIPO-1-1991,1159567,1911733,8058471
BBBPIPO-1-2012,1102054,2437821,7704918
BBBPIPO-1-2015,1513719,2604203,7945829
BBBPIPO-1-2022,1460990,2031234,7796135
BBBPIPO-1-1954,1263510,933805,9924526
BBBPIPO-1-1955,1152609,1161352,9407065
BBBPIPO-1-1956,1682885,2587940,8684756
BBBPIPO-1-1959,1957460,2528755,8523323
BBBPIPO-1-1961,1408085,2201364,8507060
BBBPIPO-1-1962,778002,1905157,8572750
BBBPIPO-1-1963,1773938,1859407,8648198
BBBPIPO-1-1966,1314678,1804253,8533647
BBBPIPO-1-1967,1631448,1588586,8568295
BBBPIPO-1-1968,1531024,1564756,8536970
BBBPIPO-1-1970,2203711,195797,8371507
BBBPIPO-1-1972,1511890,950492,8308363
BBBPIPO-1-1975,2080373,1317269,8051895
BBBPIPO-1-1976,1913375,1407637,8114262
BBBPIPO-1-1979,1328866,1510521,8325333
BBBPIPO-1-1980,2332442,1594384,8395620
BBBPIPO-1-1981,1403588,1469721,8236026
BBBPIPO-1-1982,1171820,1473610,8160012
BBBPIPO-1-1984,1638075,1588303,8264522
BBBPIPO-1-1985,1548380,1859549,8428854
BBBPIPO-1-1986,1684818,2025295,8454027
BBBPIPO-1-1987,1082177,2081510,8337001
BBBPIPO-1-1922,1494750,514915,7768133
BBBPIPO-1-1941,1626410,2587515,9857563
BBBPIPO-1-1942,1254452,2477560,9575781
BBBPIPO-1-1944,1861986,2171312,9617571
BBBPIPO-1-1947,1590420,2267762,9934072
BBBPIPO-1-1948,1546783,2066236,9930536
BBBPIPO-1-1951,1581737,1539937,9621036
BBBPIPO-1-1953,1087822,1384232,9550467
BBBPIPO-1-1988,1813601,2101733,8226268
BBBPIPO-1-1989,1487854,2082429,8265371
BBBPIPO-1-1993,1545113,2082924,8028702
BBBPIPO-1-1994,1477834,1973322,8027995
BBBPIPO-1-1996,1469095,1879489,8171325
BBBPIPO-1-1999,1324629,1809556,8074381
BBBPIPO-1-2004,1320641,2265994,8091705
BBBPIPO-1-2005,940349,2300713,8032945
BBBPIPO-1-2006,1507561,2350493,8372073
BBBPIPO-1-2007,1185761,2418022,8406368
BBBPIPO-1-2008,1646209,2426224,8337354
BBBPIPO-1-2009,1576777,2460873,8086331
BBBPIPO-1-2010,1390337,2496864,7947102
BBBPIPO-1-2011,1965760,2481874,7902696
BBBPIPO-1-2013,1842401,2439518,7916767
BBBPIPO-1-2014,879041,2599960,7703999
BBBPIPO-1-2017,1567094,2269247,7532667
BBBPIPO-1-2018,1377865,2212112,7697281
BBBPIPO-1-2025,1262686,1966534,7865078
BBBPIPO-1-2026,1067837,2047922,7548930
BBBPIPO-1-2029,1215045,1088520,7580608
BBBPIPO-1-2030,1057870,1050053,7918888
BBBPIPO-1-2031,1524097,1073883,7953042
BBBPIPO-1-2032,2112267,896964,7845703
BBBPIPO-1-2034,1286089,746704,7952122
BBBPIPO-1-2035,1700261,231011,7667370
BBBPIPO-1-2036,1473557,211778,7580538
BBBPIPO-1-2037,1788380,157543,7763466
BBBPIPO-1-6226,1191584,1533219,8285665
BBBPIPO-1-1960,1715828,2416183,8852269
BBBPIPO-1-1974,1479984,1183343,8004802
BBBPIPO-1-1977,659401,1486904,8341880
BBBPIPO-1-1978,1578551,1486550,8312535
BBBPIPO-1-1983,1466957,1707592,8022197
BBBPIPO-1-2027,1768241,1228032,7825762
BBBPIPO-1-2028,1918977,1315430,7782205
BBBPIPO-1-3884,1880717,309359,7731859
BBBPIPO-1-3901,1458192,2226820,9711970
BBBPIPO-1-6197,1762643,1421355,7829015
BBBPIPO-1-1973,1904693,1171039,8226409
BBBPIPO-1-1913,1652562,2359120,9900697
BBBPIPO-1-1943,1099951,2482793,9515394
BBBPIPO-1-1946,1649811,2175414,9870857
BBBPIPO-1-1949,2334855,1966958,9906778
BBBPIPO-1-1950,2049992,1524310,9701717
BBBPIPO-1-1952,1877778,1420931,9738628
BBBPIPO-1-2033,1655932,663902,7571063
BBBPIPO-1-2089,1297436,1320309,8973750
BBBPIPO-1-3883,1235441,1628042,7691624
BBBPIPO-1-6180,1863656,1213041,8892928
BBBPIPO-1-6181,1608707,1235103,8869452
BBBPIPO-1-8983,1815584,1559665,8585902
BBBPIPO-1-6182,2215589,1321865,8782690
BBBPIPO-1-6183,1518502,1308713,8766144
BBBPIPO-1-6184,1526550,2306935,8787569
BBBPIPO-1-6185,1158549,1879489,8616803
BBBPIPO-1-6209,1558874,766715,8106060
BBBPIPO-1-6210,1664570,779231,8089301
BBBPIPO-1-6211,1493648,834456,8076502
BBBPIPO-1-6212,1467718,808647,8085341
BBBPIPO-1-6213,951333,1062215,8207954
BBBPIPO-1-6215,1401421,1565675,8376245
BBBPIPO-1-6216,1725209,1441437,8093190
BBBPIPO-1-6217,1298605,926663,7560032
BBBPIPO-1-6220,2002105,940452,7537758
BBBPIPO-1-6221,1482432,959685,7580750
BBBPIPO-1-6222,1541008,1198970,9616935
BBBPIPO-1-6223,1541061,1198970,9616935
BBBPIPO-1-7527,1598173,1884439,8600539
BBBPIPO-1-7883,1314363,1879489,8616803
BBBPIPO-1-7885,1369115,1214173,9618702
BBBPIPO-1-8998,862476,1918239,8347536
BBBPIPO-1-1957,740643,2576272,8560658
BBBPIPO-1-1958,1442395,2586808,8530324
BBBPIPO-1-1964,1057805,1850427,8579397
BBBPIPO-1-1965,1240703,1854246,8531738
BBBPIPO-1-1969,1430336,1092621,8850714
BBBPIPO-1-1971,1593387,826112,8106060
BBBPIPO-1-1990,1618348,2030739,8186953
BBBPIPO-1-1992,1728515,1930330,8032803
BBBPIPO-1-1995,1769724,1951826,7998579
